remedy,symptom_text,body_part,modality,source_book,severity,confidence_hint
Coca,for the accustomed stimulants,general,not specified,Allen,moderate,0.8
Kreosotum,having wrinkled (abrot.); scrofulous or psoric affections; rapid emaciation lately,,,,,
Variolinum,efficacy of the potency is the stumbling block to the materialist,general,not specified,Allen,moderate,0.8
Colocynthis,"i have restlessness, twisting and turning to obtain relief; > by hard",,,,,
Arum Triphyllum,"i feel uncontrollable, changing continually; worse from talking, speaking",,,,,
Chamomilla,my problem is aggravation,,,,,
Psorinum,"i have melancholy; very depressed, sad suicidal thoughts; despairs of",,,,,
Aconitum Napellus,it gets worse when tossing about in agony; becomes intolerable towards evening and,,,,,
Ledum Palustre,"i feel feet, up to knees; of ankle with unbearable pain when walking, as",,,,,
Sanguinaria,"i feel n., psor., tuec.)",,,,,
Thuja Occidentalis,"suffering from chronic catarrh: after exanthemata; thick, green mucus,",,,,,
Lilium Tigrinum,i feel constant desire to defecate and,,,,,
Helonias Dioica,i am experiencing (melanthaceae.),,,,,
Hamamelis Virginica,haemorrhoids:,general,not specified,Allen,moderate,0.8
Apis Mellifica,"i am experiencing scarcely retain the urine a moment, and when passed scalds",,,,,
Cuprum Metallicum,"i feel the tongue, like a snake (lach.)",,,,,
Thlaspi Bursa Pastoris,haemorrhage or,general,not specified,Allen,moderate,0.8
Spigelia,"my problem is - compare: acon., ars., cact., dig",,,,,
Lycopodium Clavatum,accumulation of flatulence; constant sensation of satiety; good,general,not specified,Allen,moderate,0.8
Arsenic Album,"it gets worse when effects from decayed food or animal matter, whether by",,,,,
Menyanthes Trifoliata,suffering from during hard pressure with hand (ver.); as of a heavy weight,,,,,
Cicuta Virosa,"i feel a few moments, as if dead; upper part of the body most affected;",,,,,
Allium Cepa,"i feel acrid tears, bland and fluent coryza, euph.)",,,,,
Aconitum Napellus,"i noticed menses, nat",,,,,
Drosera Rotundifolia,"or after measles; spasmodic, with gagging, retching and vomiting",general,not specified,Allen,moderate,0.8
Causticum,it gets worse when cold water; on expiration (acon.); with pain in hips; remaining,,,,,
Tarentula,i have symptoms appear,,,,,
Helleborus Niger,"having silent; with anguish; after typhoid; in girls at puberty, or when lately",,,,,
Caulophyllum,it hurts when (calc.); preventing pregnancy,,,,,
Symphytum,suffering from comfrey (borraginaceae),,,,,
Cuprum Metallicum,my problem is apis and zinc,,,,,
Aconitum Napellus,"evening and night, pains are insupportable; in a",general,not specified,Allen,moderate,0.8
Amylenum Nitrosum,suffering from for help to stretch,,,,,
Spigelia,"i feel yellow, earthy skin",,,,,
Tuber,having keynotes by h.c lately,,,,,
Kali Bichromicum,suffering from gastric complaints: bad effects of beer; loss,,,,,
Hamamelis Virginica,"having ulceration of bowels (crot.); uterine, active or passive; after a fall lately",,,,,
Opium,suffering from thinks she is not at home (bry.);,,,,,
Skimmed Milk,my problem is constipation: with ineffectual,,,,,
Antimony Crudum,"having similar: to, bry;, ipec., lyc., lately",,,,,
Argentum Nitricum,"i am experiencing (alum., arg",,,,,
Dioscorea Villosa,i am experiencing despondency (staph.),,,,,
Chamomilla,"i am experiencing persons, especially children, with light brown hair, nervous,",,,,,
Magnesia Carbonica,"i noticed repose, must get up and walk (rhus); toothache, during pregnancy",,,,,
Hyoscyamus Niger,"in delirium, hyoscyamus occupies a place",general,not specified,Allen,moderate,0.8
Digitalis Purpurea,"i am experiencing unless constantly on the move, heart will cease beating, gels.)",,,,,
Arsenic Album,"it gets worse when stomach does not seem to tolerate, because it cannot assimilate",,,,,
Sep,keynotes by h.c,general,not specified,Allen,moderate,0.8
Carbo Animalis,i feel pieces; has to sit up at night and hold it together,,,,,
Causticum,"it hurts when mental shock, resulting in paralysis",,,,,
Nux Moschata,suffering from complaints cause sleepiness,,,,,
Agnus Castus,having for the lymphatic constitution lately,,,,,
Sepia,"i am experiencing whole body; climacteric (lach., sang., sulph., tub.); ascends,",,,,,
Mercurius Proto Iodide,it gets worse when glands are enormously swollen; membrane begins on or is < on,,,,,
Chamomilla,"i have diarrhoea: from cold, anger or chagrin; during dentition; after",,,,,
Stram,"it hurts when - from touch, motion, noise, draught of air, looking",,,,,
Sepia,"my problem is headache: in terrific shocks; at menstrual nisus, with scanty flow;",,,,,
Calcarea Phosphorica,having alternating with chest symptoms (berb.); lack of animal heat; cold lately,,,,,
Nux Moschata,"it gets worse when all the parts upon which one lies (bap., pry.); tendency to bed",,,,,
Lachesis,"both mentally and physically, by their illness",general,not specified,Allen,moderate,0.8
Apis Mellifica,"i am experiencing ac., apoc.)",,,,,
Asarum Europaeum,it gets worse when hovering in the air like a spirit (lac,,,,,
Bovista,suffering from menstrual irregularities,,,,,
Crotalus Horridus,"my problem is haemorrhage when occurring in typical septic, or zymotic disease;",,,,,
Lilium Tigrinum,i feel the vessel (aesc.),,,,,
Ammonium Muriaticum,constipation accompanied by much flatus,general,not specified,Allen,moderate,0.8
Headache and diarrhoea from jarring of ears,it hurts when throat constantly filled,,,,,
Magnesia Muratica,my problem is continual raising of,,,,,
Veratrum Album,suffering from cholera and cholera morbus,,,,,
Terebinth,having oil of turpentine (a volatile oil.) lately,,,,,
Cantharides,it hurts when give potency internally,,,,,
Causticum,suffering from from lead poisoning (bad effects of holding type in mouth of,,,,,
Sabadilla,that she has some horrible throat disease that will be fatal,general,not specified,Allen,moderate,0.8
Staphisagria,having when not urinating; urging and pain after urinating in prostatic lately,,,,,
Baryta Carbonica,suffering from haemorrhoids protrude every time,,,,,
Zincum Metallicum,suffering from the flow ceases,,,,,
Cocculus,"i feel trembling of arms and legs; from excitement, exertion or pain",,,,,
Magnesia Carbonica,"(mgco3,3h2o.)",general,not specified,Allen,moderate,0.8
Abrotanum,i have great weakness and prostration and a kind of hectic fever,,,,,
Lac Caninum,"i noticed wonderful theraputic powers have slowly, yet surely overcome",,,,,
Spigelia,"suffering from morning at base of brain, spreading over the head and locating in",,,,,
Petroselinum,child suddenly seized with desire to urinate; if,general,not specified,Allen,moderate,0.8
Benzoic Acid,it gets worse when enuresis nocturna of delicate children; dribbling urine,,,,,
Aurum Metallicum,"suffering from of carotid and temporal arteries (bell., glon.)",,,,,
Caladium,"nux, taren.)",general,not specified,Allen,moderate,0.8
Conium Maculatum,alcoholic stimulants when in health,general,not specified,Allen,moderate,0.8
Cactus Grandiflorus,"""had no room to beat.""",general,not specified,Allen,moderate,0.8
Sanguinaria,floor; pain extends in all directions from the upper jaw,general,not specified,Allen,moderate,0.8
Anacardium Orientale,i feel marking nut,,,,,
Phytolacca,i am experiencing patients of a rheumatic diathesis; rheumatism of fibrous and,,,,,
Syphillinum,suffering from and ceasing at daylight (ceases at 11 or 12 p,,,,,
Nux Vomica,"i have pains are ingling, sticking, hard, aching, worse from motion and",,,,,
Ledum Palustre,"it hurts when remaining discoloration after injuries: ""black and blue"" places",,,,,
Carbo Animalis,"i noticed similar: to, bad., brom.,",,,,,
Phytolacca,"i am experiencing emaciation, chlorosis;",,,,,
Thlaspi Bursa Pastoris,i feel haemorrhage or,,,,,
Aconitum Napellus,"it hurts when exposure to dry cold air, dry north or west winds, or exposure to",,,,,
Sulphur,i have calcarea must not be used before sulphur,,,,,
Mezereum,i feel (thymelaceae.),,,,,
Mercurius,it gets worse when best adapted for light-haired persons; skin and muscles lax,,,,,
Ruta Graveolens,"it hurts when aching in and over eyes, with blurred vision, as if they had",,,,,
Antimony Crudum,"i feel complaints from over-eating; stomach weak, digestion easily",,,,,
Aurum Metallicum,i feel prolapsed and,,,,,
Taraxacum,it hurts when keynotes by h.c,,,,,
Calcarea Ostrearum,hoarseness < in the morning,general,not specified,Allen,moderate,0.8
Bromium,"i feel cheeked, scrofulous girls",,,,,
Psorinum,"of vision or blindness (lac d., kali bi.); by spots or rings",general,not specified,Allen,moderate,0.8
Cyclamen Europaeum,i am experiencing ailments: from suppressed grief and terrors of conscience; from,,,,,
Lilium Tigrinum,i have sexual desire,,,,,
Bovista,i am experiencing puffball (fungi.),,,,,
Agaricus Muscarius,"to cold air (cal., kali c., psor.)",general,not specified,Allen,moderate,0.8
Carbolic Acid,having much sloughing of soft parts (calend.) lately,,,,,
Mezereum,i feel hypochondriacal,,,,,
Agaricus Muscarius,suffering from or grimaces; from spinal affections,,,,,
Anthracinum,"i have pulse, delirium and fainting (pyr.)",,,,,
Natrum Carbonicum,i am experiencing - from music; in the sun; excessive summer heat;,,,,,
Kalmia Latifolia,i feel swollen; worse from least movement,,,,,
Baptisia Tinctoria,"decubitus in typhoid (arn., mur",general,not specified,Allen,moderate,0.8
Hyoscyamus Niger,having followed by epilepsy lately,,,,,
Ignatia,i feel disappointed love (cal,,,,,
Apocynum Cannabinum,"i have excretions diminished, especially urine and sweat",,,,,
Syphillinum,"awakening; it is intolerable, death is preferable",general,not specified,Allen,moderate,0.8
Colocynthis,drinking; compel patient to bend double (mag,general,not specified,Allen,moderate,0.8
Sabina,i have abortion or premature labor,,,,,
Staphisagria,"my problem is at night in bed, and in the morning before rising",,,,,
Medorrhinum,i am experiencing constantly loses the thread of conversation,,,,,
Capsicum,"escapes a volume of pungent, fetid air",general,not specified,Allen,moderate,0.8
Hamamelis Virginica,"i feel patients, subject to",,,,,
Sanicula,"it hurts when emaciation,",,,,,
Opium,"my problem is when symptoms correspond, the",,,,,
Camphora,i am experiencing persons physically and mentally weak and irritable,,,,,
Acetic Acid,"it gets worse when ac., salivation < at night,",,,,,
Hamamelis Virginica,"it hurts when patients, subject to",,,,,
Argentum Metallicum,it hurts when keynotes by h.c,,,,,
Silicea,"having oversensitive, physically and mentally lately",,,,,
Sabadilla,"i have pleurisy, and has cured after acon",,,,,
Emaciation of affected parts,"i have ac., in sexual weakness",,,,,
Hering,keynotes by h.c,general,not specified,Allen,moderate,0.8
Picric Acid,having or brought on by slightest motion or mental exertion lately,,,,,
Opium,having (in stramonium we have suppression; while in opium the lately,,,,,
Sarsaparilla,suffering from in children; face like,,,,,
Dioscorea Villosa,"it gets worse when twisting colic, occurring in regular paroxysms, as if intestines were",,,,,
Platina,excessive itching in uterus; pruritis vulvae,general,not specified,Allen,moderate,0.8
Pa,"i am experiencing ""characteristic,"" the ""red strand of the rope,"" and",,,,,
Silicea,my problem is fainthearted,,,,,
Plumbum,suffering from sensation as if abdominal wall was drawn as if by a string to,,,,,
Conium Maculatum,i am experiencing in tumors of mammae with,,,,,
Secale Cornutum,"it gets worse when old, decrepit, feeble persons",,,,,
Ammonium Carbonicum,i feel panaritium: deep seated,,,,,
Selenium,"i feel adapted to light complexion; blondes; great emaciation of face,",,,,,
Ipecacuanha,navel to uterus,general,not specified,Allen,moderate,0.8
Opium,potencies may antidote bad effects of opium drugging,general,not specified,Allen,moderate,0.8
Cina,"i am experiencing t., bry., cham., staph.)",,,,,
Dulcamara,my problem is (solanaceae.),,,,,
Medorrhinum,i have anticipates,,,,,
Mercurius Biniodide,i am experiencing intolerable burning in for part of urethra when passing last few,,,,,
Terebinth,"ulceration; passive, dark, with ulceration or epithelial degeneration",general,not specified,Allen,moderate,0.8
Crocus Sativus,keynotes by h.c,general,not specified,Allen,moderate,0.8
Kreosotum,"corrosive, fetid, ichorous discharges from",general,not specified,Allen,moderate,0.8
Rumex Crispus,(polygonaceae.),general,not specified,Allen,moderate,0.8
Nux Vomica,"it gets worse when desire fro stool; anxious, ineffectual, > for a time after stool; in",,,,,
Nitric Acid,"my problem is haemorrhage: from bowels in typhoid or typhus (crot., mur",,,,,
Chamomilla,"peevish, irritable, oversensitive to pain, driven to despair (coff.);",general,not specified,Allen,moderate,0.8
Puls,it gets worse when aggravation,,,,,
Calcarea Ostrearum,offensive foot sweat,general,not specified,Allen,moderate,0.8
Cina,i feel relieved the severe symptoms,,,,,
Spigelia,"i am experiencing as if a band around head (cac., carb",,,,,
Tartar Emetic,"having bronchi; it seems as if much would be expectorated, but nothing lately",,,,,
Cocculus,suffering from speaks hastily (anac.),,,,,
Medorrhinum,having anything is in such a hurry she gets fatigued lately,,,,,
Sabina,having labor-like pains; pains from sacrum to pubes lately,,,,,
Petroleum,it gets worse when keynotes by h.c,,,,,
Lac Caninum,many words or not the right ones; omits final letter or letters in a,general,not specified,Allen,moderate,0.8
Lobelia Inflata,it hurts when of a deep orange red color; copious red sediment,,,,,
Diseases occurring in winter,it gets worse when keynotes by h.c,,,,,
Lilium Tigrinum,it hurts when calamity or disease,,,,,
Nitric Acid,it hurts when suffer with constipation,,,,,
Magnesia Muratica,"it gets worse when bladder; menses: with great excitement at every speed; flow black,",,,,,
Sanguinaria,"i feel headache, > by perfect quiet in a dark room (""tired headache"" from",,,,,
Calendula,suffering from penetrating articulations with loss of synovial fluids,,,,,
Croton Tiglium,in chronic infantile,general,not specified,Allen,moderate,0.8
Anthracinum,the swelling changes color and red streaks from the wound map,general,not specified,Allen,moderate,0.8
Allium Cepa,"similar: to, euph., but coryza and",general,not specified,Allen,moderate,0.8
Headache and diarrhoea from jarring of ears,my problem is rheumatism of top of,,,,,
Staphisagria,it hurts when inimical: ran,,,,,
Sulphuric Acid,my problem is has been successfully used to subdue the craving for liquor -,,,,,
Crocus Sativus,i noticed across the eyes; closing lids tightly gives >,,,,,
Pa,my problem is preface : second edition,,,,,
Calendula,my problem is acts well in,,,,,
Mercurius,"the more blood, the",general,not specified,Allen,moderate,0.8
Platina,i noticed mental symptoms appear as physical symptoms,,,,,
Phosphorus,"nervous, weak;",general,not specified,Allen,moderate,0.8
Argentum Nitricum,"suffering from as soon as he drinks (ars., crot",,,,,
Tabacum,suffering from excessive smoking,,,,,
Ringworm,"i have as a constitutional remedy in hay fever, asthma",,,,,
Coffee Cruda,it hurts when through mental exaltation,,,,,
Allium Cepa,"eyes: burning, biting, smarting as from",general,not specified,Allen,moderate,0.8
Tabacum,"it hurts when symptoms occur in paroxysyms - asthma, sick headache,",,,,,
Nux Vomica,i noticed follows well:,,,,,
Calendula,"it gets worse when rhus, ruta, strains or injuries of single muscles",,,,,
Sanguinaria,until he sits up in bed and passes flatus; circumscribed red cheeks;,general,not specified,Allen,moderate,0.8
Cina,when haemorrhage results,general,not specified,Allen,moderate,0.8
Veratrum Album,"i feel purging; stool, profuse, watery, gushing, prostrating; after fright",,,,,
Calcarea Ostrearum,having the least mental excitement causes profuse lately,,,,,
Sec,i am experiencing proving with camphor and opium,,,,,
Plumbum,"i have greasy, shiny (nat",,,,,
Nux Moschata,"suffering from stiffened, no thirst (puls.)",,,,,
Secale Cornutum,"i noticed tingling in the limbs and great debility, especially when the",,,,,
Sulphur,sensation of burning: on vertex; and smarting in,general,not specified,Allen,moderate,0.8
Spongia Tosta,having valvular insufficiency; before and during menses lately,,,,,
Cocculus,has cured umbilical,general,not specified,Allen,moderate,0.8
Sanguinaria,"the day, lasts until evening; head feels as if it would burst, or as if",general,not specified,Allen,moderate,0.8
Arnica Montana,"nervous, cannot bear pain; whole body over-sensitive (cham.,",general,not specified,Allen,moderate,0.8
Dioscorea Villosa,"suffering from - compare: col., phos., pod., rhus,",,,,,
Medorrhinum,"i am experiencing carcinoma or cancer, with acute or chronic in development, when",,,,,
Tabacum,"i feel nux, for the gastric symptoms next morning after",,,,,
Aethusa Cynapium,"i noticed epileptic spasms, with clenched thumbs, red",,,,,
Natrum Carbonicum,"i noticed inability to think or perform any mental labor,",,,,,
Mercurius,"nostrils raw, ulcerated; yellow-green, fetid, pus-like; nasal bones",general,not specified,Allen,moderate,0.8
Pyrogen,"in septic fevers, especially puerperal, pyrogen has demonstrated its",general,not specified,Allen,moderate,0.8
Coffee Cruda,"having ice-water in the mouth, but returns when water becomes warm lately",,,,,
Belladonna,"i feel adapted to bilious, lymphatic, plethoric constitutions; persons who",,,,,
Graphites,"i feel sensation of cobwebs on forehead, tries hard to brush",,,,,
Sepia,"must be removed from the room (horribly offensive after standing,",general,not specified,Allen,moderate,0.8
Collinsonia Canadensis,having especially in latter months of pregnancy lately,,,,,
Gelsemium,i am experiencing of his ailments; when spoken to of his loss,,,,,
Lyssin,i have hydrophobia,,,,,
Capsicum,desires to be let alone; wants to lie,general,not specified,Allen,moderate,0.8
Cuprum Metallicum,i have convulsions from suppressed exanthems,,,,,
Pyrogen,"it hurts when fever; temperature 103 to 106; head sudden, skin dry and burning;",,,,,
Natrum Carbonicum,"it gets worse when occiput before menses; head feels too large, as it it would burst",,,,,
Iodum,"i have upstairs (calc.); during menses (alum, carbo an., coc.)",,,,,
Hypericum Perforatum,"and corns when pain is excruciating, showing nerve involvement",general,not specified,Allen,moderate,0.8
Colocynthis,"it gets worse when motion, stepping; > by sitting",,,,,
Kali Carbonicum,"i feel before menstruation; backache, before and during menses",,,,,
Baptisia Tinctoria,"suffering from especially when very offensive (carbo v., pod., psor.)",,,,,
Silicea,"i feel takes cold from exposure of feet (con., cup.)",,,,,
Baryta Carbonica,"it hurts when of the heels; throat affections after checked foot sweat (compare,",,,,,
Bromium,"suffering from tuberculous swelling of glands, especially on lower jaw and throat",,,,,
Medorrhinum,"having death; always anticipating, feels matters most senstively before lately",,,,,
Cocculus,i am experiencing symptoms; ant,,,,,
Asterias Rubens,"i am experiencing apoplexy; face red,",,,,,
Headache and diarrhoea from jarring of ears,suffering from moving; with malignant disease of uterus,,,,,
Stramonium,it hurts when - in the dark; when alone; looking at bright or,,,,,
Zincum Metallicum,"it hurts when during sweat, cannot tolerate any covering",,,,,
Camphora,i am experiencing pain better while thinking of it (hell,,,,,
Bryonia Alba,i have even a hand or foot,,,,,
Phosphorus,"my problem is pouring away as from a hydrant; watery, with sago-like particles;",,,,,
Ambra Grisea,my problem is relationship,,,,,
Pyrogen,it hurts when pulse abnormally,,,,,
Sanicula,"i am experiencing put them in a cool place (lach., med., sang., sulph.)",,,,,
Silicea,"my problem is axillary, parotid, mammary, inguinal, sebaceous; malignant,",,,,,
Baryta Carbonica,i noticed painful side; after meals; washing affected parts,,,,,
Lach,my problem is drug chiefly palliative; must be repeated as patient becomes,,,,,
Lachesis,my problem is such a headache,,,,,
Berberis Vulgaris,"it gets worse when acts well after, arn., bry., kali bi., rhus, sulph., in rheumatic",,,,,
Phosphoric Acid,"i feel when aroused is fully conscious, answers slowly and correctly and",,,,,
Sanicula,"i feel weakness, bearing down as if contents",,,,,
Taraxacum,my problem is - almost all symptoms appear when sitting; lying,,,,,
Nux Moschata,"i have - nux moschata antidoes mercurial inhalation, lead",,,,,
Sulphur,it hurts when keynotes by h.c,,,,,
Aesculus Hippocastanum,i feel relationship,,,,,
Cyclamen Europaeum,"i feel affections; croc.,",,,,,
Borax,"i am experiencing or sour food; of old people, often from plate of teeth (alumen)",,,,,
Sepia,"particularly sensitive to cold air, ""chills so easily;"" lack of",general,not specified,Allen,moderate,0.8
Ignatia,"having fever: red face during chill (fer.); chill, with thirst during lately",,,,,
Mercurius Corrosivus,it gets worse when night; great burning and tenesmus,,,,,
Lach,having aggravation lately,,,,,
Agnus Castus,"i am experiencing excoriation, from walking",,,,,
Aesculus Hippocastanum,"i have had improved piles, aesc often cures",,,,,
Kali Bichromicum,it hurts when potassium bichromate,,,,,
Chamomilla,it hurts when keynotes by h.c,,,,,
Aurum Metallicum,it hurts when headache of people with dark olive-brown,,,,,
Carbo Animalis,"my problem is indurated, swollen, painful; in neck, axillae, groin, mammae; pains",,,,,
Spigelia,i am experiencing abdominal ailments; with helminthiasis,,,,,
Natrum Muriaticum,ac.); cutting in,general,not specified,Allen,moderate,0.8
Phosphate of Magnesia,it gets worse when - cold air; a draft of cold air or cold wind; cold,,,,,
Helleborus Niger,"it hurts when irritable, easily angered;",,,,,
Allium Cepa,it hurts when cough compels patient to grasp the larynx; seems as if cough,,,,,
Oversensitive to heat and cold,"having similar: to, puls., ant lately",,,,,
Benzoic Acid,suffering from catarrah of bladder after suppressed,,,,,
Kali Carbonicum,"my problem is side (stitching, darting, better during rest and lying on painful side,",,,,,
Sepia,i have - complementary: natrum mur,,,,,
Phosphorus,"i have nervous, weak;",,,,,
Drosera Rotundifolia,"cough: < by warmth, drinking, singing, laughing, weeping,",general,not specified,Allen,moderate,0.8
Equisetum Hyemale,"i have few drops, apis, canth.)",,,,,
Natrum Carbonicum,i noticed music (sab.),,,,,
Graphites,"having after, kreos.) lately",,,,,
Colchicum Autumnale,"having pains are drawing, lately",,,,,
Agaricus Muscarius,it gets worse when - after eating; after coitus; cold air; mental,,,,,
Arsenic Album,i am experiencing breathing: asthmatic; must sit or bend forward; springs out of bed,,,,,
Puerperal convulsions immediately after delivery,"i am experiencing - similar: to, bell., cac., coca, fer., glon.,",,,,,
Chelidonium Majus,i am experiencing (mer.); all lessen after dinner,,,,,
Spigelia,"my problem is sharp, stabbing, sticking pains through",,,,,
Veratrum Album,"i noticed sensation of a lump of ice on vertex, with chilliness (sep.);",,,,,
Eupatorium Perfoliatum,"having adapted to diseases of old people; worn-out constitutions, lately",,,,,
Conium Maculatum,"my problem is great difficulty in voiding urine; flow intermits,",,,,,
Pulsatilla,"i am experiencing - complementary: kali m., lyc., sil., sulph",,,,,
Bryonia Alba,it hurts when one of the chief,,,,,
Phosphorus,"it hurts when haemoptysis, vicarious, from nose, stomach, anus, urethra, in",,,,,
Nux Vomica,having mind and body lately,,,,,
Muratic Acid,"my problem is affections of mouth; studded with ulcers, deep, perforating; have a",,,,,
