symptom,possible_condition,severity,patient_age_group,remedy_name,potency,keynote_indication,remedy_reason,suitable_for_bp_high,suitable_for_diabetic,avoid_if_allergy,dietary_restrictions,what_to_avoid,consult_doctor,source_book,additional_notes
sore throat,Acute Red Tonsillitis,moderate,all,Belladonna,30C,"Bright red swollen tonsils; right side worse; sudden high fever with throat pain; difficulty swallowing; burning dryness","At MODERATE severity when tonsils are visibly red and swollen with fever Belladonna 30C is primary. The right-sided predominance and sudden hot red presentation are the keynotes to select this over other remedies",caution in very high BP; generally safe at 30C,yes - safe for diabetics,Nightshade allergy (rare),Warm liquids only; no cold food; soft food,Coffee / Camphor / Mint / Cold drinks,no,Allen's Keynotes,Right-sided tonsillitis with redness and fever is Belladonna's domain
sore throat,Quinsy / Peritonsillar Abscess,high,adult,Hepar Sulphuris Calcareum,200C,"Pus-forming throat abscess; extreme sensitivity to cold; violent pain; splinter sensation in throat; very irritable patient","At HIGH severity when abscess is forming Hepar Sulph 200C either rapidly brings pus to a head for drainage or aborts the abscess entirely. The extreme cold sensitivity and splinter-like pain are definitive indicators",yes - safe for BP patients,yes - safe for diabetics,Sulphur compounds (dilution safe),Warm soft food only; avoid anything cold,Coffee / Camphor / Mint / Cold air / Cold drinks / Drafts,yes - quinsy needs ENT evaluation,Boericke's Materia Medica,Hepar Sulph 200C promotes rapid suppuration or resolution; see ENT if not improving in 24 hours
stomach pain,Indigestion from Overeating,low,all,Carbo Vegetabilis,30C,"Bloating and gas 30 minutes after eating; stomach feels heavy; eructations give temporary relief; sluggish digestion","At LOW severity for simple indigestion from overeating or wrong food Carbo Veg 30C relieves bloating and gas effectively. Patient feels heavy in stomach and wants to belch for relief",yes - safe for BP patients,yes - safe for diabetics,Charcoal allergy (very rare),Avoid gas-forming foods; light meals; no lying down after eating,Coffee / Camphor / Mint / Rich food / Overeating,no,Boericke's Materia Medica,Temporary belching relief is keynote; also give after surgical anesthesia nausea
stomach pain,Gastritis with Cramping,moderate,all,Nux Vomica,30C,"Stomach pain from overindulgence; nausea; cannot vomit despite urging; irritable; worse in morning; sedentary patient","At MODERATE severity when gastric pain is established with nausea and irritability Nux Vomica 30C is primary. The ineffectual urging to vomit and morning aggravation clearly indicate this remedy over Carbo Veg",caution in very high BP; generally safe at 30C,yes - safe for diabetics,None,Light easily digestible food; no spicy oily food; no alcohol,Coffee / Camphor / Spicy food / Alcohol / Late nights / Sedentary lifestyle,no,Allen's Keynotes + Boericke,Number one lifestyle headache and gastric remedy for modern sedentary life
stomach pain,Severe Colic / Appendicitis-like Pain,high,all,Colocynthis,200C,"Agonizing cramping pain forcing patient to bend double or press hard on abdomen; worse from anger or indignation; comes in waves","At HIGH severity when cramping is so severe the patient doubles over Colocynthis 200C is essential. The absolute relief from hard pressure or bending double is the definitive keynote. If right lower quadrant pain - rule out appendicitis with doctor",yes - safe for BP patients,yes - safe for diabetics,None,Only warm liquids; avoid solid food during pain,Coffee / Camphor / Mint / Anger / Cold,yes - severe abdominal pain needs medical evaluation to rule out surgical emergency,Allen's Keynotes,Bending double with relief from pressure is pathognomonic; always rule out appendicitis
diarrhea,Mild Loose Stools from Food,low,all,Pulsatilla,30C,"Loose stools from rich fatty food; changeable stools; no two stools alike; mild cramping; no thirst; patient weepy","At LOW severity when diarrhea is from dietary indiscretion especially fatty food Pulsatilla 30C is gentle and effective. The changeable nature of stools and connection to rich food intake are the indicators",yes - safe; mildly lowers BP,yes - safe for diabetics,None,Light easily digestible food; avoid fatty food; plenty of water,Coffee / Camphor / Mint / Rich food / Warm closed rooms,no,Allen's Keynotes + Boericke,Changeable symptoms and rich food connection point to Pulsatilla
diarrhea,Acute Gastroenteritis / Food Poisoning,moderate,all,Arsenicum Album,30C,"Burning diarrhea with vomiting; restlessness; fear; thirst for sips; worse after midnight; from contaminated food or water","At MODERATE severity with the classic food poisoning picture of burning diarrhea plus anxiety and restlessness Arsenicum Album 30C is indispensable. Give with ORS. Addresses both the physical and psychological distress",yes - safe and calms anxiety in hypertensive patients,yes - safe for diabetics,Arsenic compounds (dilution completely safe),ORS and warm water continuously; rice and banana diet,Coffee / Camphor / Mint / Cold food / Cold drinks,no,Allen's Keynotes + Boericke,Most important traveler's diarrhea and food poisoning remedy worldwide
diarrhea,Profuse Watery Dehydrating Diarrhea,high,all,Veratrum Album,200C,"Profuse watery gushing diarrhea with simultaneous vomiting; cold sweat on forehead; collapse; cramps in calves; cholera-like","At HIGH severity with cholera-like presentation of profuse diarrhea plus vomiting plus cold sweat and collapse Veratrum Album 200C is the emergency remedy. Cold sweat on forehead during stool is the definitive keynote. Use while rushing to hospital",yes - safe for BP patients; patient is collapsing,yes - safe for diabetics,Veratrum plant (dilution safe),ORS continuously while rushing to hospital; IV fluids needed,Coffee / Camphor / Mint,yes - emergency; IV fluids needed at hospital,Allen's Keynotes + Boericke,Cold sweat on forehead with profuse watery stool is absolute keynote; call ambulance
vomiting,Nausea from Dietary Indiscretion,low,all,Antimonium Crudum,30C,"Nausea from overeating; thick white coated tongue; belching tasting of food; worse from heat and cold bathing; no appetite","At LOW severity when nausea comes from overeating or wrong food Antimonium Crudum 30C works through the distinctive white-coated tongue. The patient is disgusted with food and has no appetite",yes - safe for BP patients,yes - safe for diabetics,Antimony (dilution safe),No food until nausea passes; sips of water only; then light diet,Coffee / Camphor / Mint / Overeating / Heat / Cold water bathing,no,Boericke's Materia Medica,White tongue coating that looks like whitewash is the absolute keynote
vomiting,Persistent Vomiting with Anxiety,moderate,all,Arsenicum Album,30C,"Vomiting with restlessness and fear; even water vomited immediately; worse after midnight; cold sweat; great anguish","At MODERATE severity when vomiting is persistent accompanied by extreme restlessness and anxiety Arsenicum Album 30C addresses both. Cannot keep even sips of water down. Give 30C dissolved in a teaspoon of water given every 15 minutes",yes - safe and beneficial for anxious hypertensives,yes - safe for diabetics,Arsenic (dilution safe),Sips of warm water every 15 min; ORS drops,Coffee / Camphor / Mint / Cold / Midnight hours,no,Allen's Keynotes + Boericke,Dissolve pellets in water and give teaspoon doses to bypass vomiting reflex
vomiting,Severe Vomiting with Dehydration / Pregnancy,high,adult,Ipecacuanha,200C,"Constant nausea not relieved by vomiting; clean tongue despite severe nausea; face pale; profuse salivation; vomiting blood or bile","At HIGH severity when vomiting is incessant and nothing gives relief Ipecacuanha 200C is the primary remedy. The paradox of clean tongue with terrible nausea is definitive. Also key remedy for vomiting of pregnancy at high severity",yes - safe for BP patients,yes - safe for diabetics,Ipecac plant (dilution safe),Nothing by mouth; go to doctor for IV fluids,Coffee / Camphor / Mint,yes - dehydration from severe vomiting needs medical care,Allen's Keynotes + Boericke,Clean tongue with persistent nausea despite vomiting is pathognomonic keynote
chest pain,Anxiety-related Chest Tightness,low,adult,Aconitum Napellus,30C,"Sudden chest tightness with palpitations from fright or shock; intense fear of death; cold sweat; no cardiac cause","At LOW severity when chest pain is anxiety-driven after a fright or shock Aconite 30C is first and best remedy. Rules out need for stronger remedies when anxiety is the driver. Always rule out cardiac cause first",yes - safe and beneficial for anxiety-related BP spikes,yes - safe for diabetics,Aconite plant (dilution safe),Calm quiet environment; breathing exercises; warm herbal tea,Coffee / Camphor / Mint / Excitement / Cold wind / Shock,no for anxiety chest pain; yes if cardiac cause not ruled out,Allen's Keynotes,Always rule out cardiac cause before attributing to anxiety; call 112 if unsure
chest pain,Pleuritic / Muscular Chest Pain,moderate,adult,Bryonia Alba,30C,"Stitching chest pain worse from motion and deep breathing; must press on chest and lie still; dry pleurisy picture","At MODERATE severity when chest pain is sharp stitching and clearly worsened by movement Bryonia 30C is primary. The patient lies perfectly still and presses chest. Indicates pleurisy or musculoskeletal cause",yes - safe for BP patients,yes - safe for diabetics,None,Complete rest; warm liquids; no movement,Coffee / Camphor / Mint / Motion / Deep breathing / Exertion,no for musculoskeletal; yes if fever suggests pleurisy,Allen's Keynotes + Boericke,Patient is worse from slightest motion and holds chest while breathing
chest pain,Cardiac / Anginal Chest Pain,high,adult,Cactus Grandiflorus,30C,"Constricting pain as if heart squeezed by iron band; irregular heartbeat; worse from lying on left; palpitations with anxiety","At HIGH severity with cardiac-type constricting chest pain Cactus Grandiflorus 30C supports while awaiting emergency care. The sensation of an iron band around the heart is pathognomonic. ALWAYS call ambulance for severe chest pain",caution - always get cardiac evaluation; use alongside conventional care,yes - safe for diabetics,Cactus allergy (very rare),Rest in upright position; no exertion; loosen tight clothing,Coffee / Camphor / Mint / Excitement / Exertion / Lying on left side,yes - ALWAYS for high severity chest pain; call 112 immediately,Boericke's Materia Medica,Never rely on homeopathy alone for cardiac chest pain; give while calling ambulance
shortness of breath,Mild Breathlessness from Anxiety,low,adult,Aconitum Napellus,30C,"Sudden breathlessness with intense anxiety and fear; palpitations; after shock or cold wind; patient fears they will die","At LOW severity when breathlessness is anxiety-driven Aconite 30C calms the nervous system rapidly. Distinguishing feature is sudden onset after fright or cold. Breathing improves within minutes when correctly chosen",yes - safe and calms hypertensive anxiety,yes - safe for diabetics,Aconite plant (dilution safe),Sit upright; fresh cool air; slow controlled breathing,Coffee / Camphor / Mint / Fright / Cold wind / Excitement,no for anxiety breathlessness; yes if cardiac or pulmonary cause not ruled out,Allen's Keynotes,Sudden onset after specific trigger with intense fear is keynote
shortness of breath,Asthmatic Attack,moderate,all,Arsenicum Album,30C,"Asthma worse after midnight; sits upright to breathe; restless moving from place to place; thirst for sips; burning in chest","At MODERATE severity the classic midnight asthma attack with restlessness and burning Arsenicum Album 30C is indispensable. Use alongside prescribed inhaler. The midnight aggravation with anxiety is the definitive indicator",yes - safe for BP patients,yes - safe for diabetics,Arsenic (dilution safe),Warm drinks; dust-proof environment; avoid cold; sit upright,Coffee / Camphor / Mint / Cold air / Damp / Midnight exertion,no - use alongside inhaler; yes if not responding,Allen's Keynotes + Boericke,Always use prescribed rescue inhaler alongside; homeopathy supports and reduces frequency
shortness of breath,Severe Respiratory Failure / Cardiac Asthma,high,adult,Carbo Vegetabilis,200C,"Cannot breathe at all; must be vigorously fanned; face bluish and cold; cold extremities; gasping for air; collapse state","At HIGH severity with near-collapse and bluish face Carbo Veg 200C is the emergency life-saver called the corpse reviver. Patient desperately wants to be fanned with cool air. Use while calling ambulance - can buy critical minutes",caution - always get immediate cardiac evaluation; use while awaiting ambulance,yes - safe for diabetics,Charcoal (very rare allergy; dilution safe),Fan patient continuously; sit upright; call 112 immediately,Coffee / Camphor / Mint / Warm stuffy rooms / Lying flat,yes - emergency; call ambulance immediately,Boericke's Materia Medica,The corpse reviver; called when all else fails; use while calling emergency services
dizziness,Mild Vertigo from Motion or Travel,low,all,Cocculus Indicus,30C,"Vertigo from riding or watching moving objects; hollow sensation in head; nausea; cannot smell food; travel sickness","At LOW severity for motion sickness and travel vertigo Cocculus 30C is first choice. Take 30 minutes before journey. Addresses the hollow dizzy feeling and nausea from watching motion",yes - safe and calms vascular system,yes - safe for diabetics,None,Light meal before travel; avoid reading while moving; fresh air,Coffee / Camphor / Mint / Motion / Watching moving objects / Irregular sleep,no,Allen's Keynotes + Boericke,Take preventively 30 min before journey for best results
dizziness,Vertigo with Nausea and Weakness,moderate,all,Gelsemium,30C,"Vertigo with heaviness of head; dullness; weak limbs; worse from sudden motion; blur of vision; no thirst","At MODERATE severity when vertigo is accompanied by weakness and heaviness Gelsemium 30C addresses the neurological component. The heavy drooping eyelids and muscular weakness accompanying dizziness are diagnostic",yes - safe; actually reduces anxiety-driven BP,yes - safe for diabetics,None,Complete rest; light food; avoid sudden movements,Coffee / Camphor / Mint / Sudden movement / Excitement / Heat,no for moderate; yes if sudden onset with facial droop suggesting stroke,Allen's Keynotes + Boericke,Heaviness of head and limbs with drowsiness distinguishes from Cocculus
dizziness,Severe Vertigo with Fainting / Stroke Risk,high,adult,Nux Vomica,200C,"Vertigo with tendency to fall; objects whirl around; worse from opening eyes; gastric origin or drug-induced; violent spinning","At HIGH severity with violent spinning vertigo and tendency to fall Nux Vomica 200C addresses the intense neurological overwhelm. If accompanied by facial asymmetry or speech difficulty this is a STROKE - call 112 immediately",caution - check BP immediately in severe vertigo,yes - safe for diabetics,None,Lie flat; do not attempt to walk; call for help,Coffee / Camphor / Mint / Opening eyes / Movement,yes - severe vertigo must rule out stroke immediately,Boericke's Materia Medica,Violent spinning vertigo worse on opening eyes; ALWAYS rule out stroke in sudden severe vertigo
skin rash,Mild Allergic Rash / Hives,low,all,Urtica Urens,30C,"Stinging burning rash like nettle stings; worse from cold water and bathing; disappears and reappears; urticaria pattern","At LOW severity for mild hives and urticaria Urtica Urens 30C is the primary remedy. Made from the stinging nettle plant - treats like with like. The burning stinging quality and aggravation from cold water are keynotes",yes - safe for BP patients,yes - safe for diabetics,Stinging nettle allergy (dilution safe),Avoid heat; cool environment; light diet; avoid shellfish and eggs if allergic,Coffee / Camphor / Mint / Cold bathing / Shellfish,no,Boericke's Materia Medica,Paradoxically worse from cold water despite burning sensation is keynote
skin rash,Acute Urticaria / Contact Dermatitis,moderate,all,Apis Mellifica,30C,"Hives with intense stinging burning swelling; better from cold applications; worse from heat; puffy rosy swellings","At MODERATE severity when urticaria has significant swelling and stinging quality Apis Mellifica 30C is primary. The relief from cold applications is the definitive keynote to select Apis over Urtica Urens",yes - monitor if on diuretics; generally safe,yes - safe for diabetics,Bee sting (homeopathic dilution paradoxically safe),Avoid heat; apply cold compress; light food,Coffee / Camphor / Mint / Heat / Touch / Pressure,no for moderate; yes if throat swelling develops,Allen's Keynotes + Boericke,Better from cold is absolute keynote; if throat swells go to ER immediately
skin rash,Anaphylaxis / Severe Spreading Rash,high,all,Carbolicum Acidum,200C,"Rapid-spreading rash with burning; dusky red discoloration; prostration; collapse tendency; septic state of skin","At HIGH severity with rapid spreading rash and collapse tendency Carbolicum Acidum 200C supports the system in septic or anaphylactic skin conditions. ALWAYS call emergency services for anaphylaxis - this is used while awaiting help",yes - emergency situation; not relevant,yes - emergency situation,Carbolic acid (dilution safe),Call ambulance immediately; remove allergen if possible,Coffee / Camphor / Mint,yes - anaphylaxis is a medical emergency; call 112 immediately,Boericke's Materia Medica,Always use EpiPen if available for anaphylaxis; homeopathy is supportive only in anaphylaxis
back pain,Mild Backache from Strain,low,adult,Arnica Montana,30C,"Back pain after physical exertion or injury; bruised sore feeling; worse from touch; bed feels too hard; denies being ill","At LOW severity after physical strain or overexertion Arnica 30C is first remedy. The characteristic bruised sore sensation and bed feeling too hard are keynotes. Reduces inflammation and promotes rapid recovery from muscle strain",yes - safe for BP patients,yes - safe for diabetics,Arnica plant (dilution safe; avoid topical on broken skin),Rest; warm compress; avoid strenuous activity,Coffee / Camphor / Mint / Touch / Exertion / Motion,no,Allen's Keynotes,Give immediately after any physical injury or strain for best results
back pain,Lumbago with Morning Stiffness,moderate,adult,Rhus Toxicodendron,30C,"Back stiff and painful on first motion; must keep moving to get relief; worse at rest and in cold damp; better from warmth","At MODERATE severity when back pain is worst on first movement but improves with continued motion Rhus Tox 30C is primary. This distinguishes it clearly from Bryonia which is worse from all motion. The rusty gate that loosens up picture",yes - safe for BP patients,yes - safe for diabetics,Poison ivy (dilution safe),Warm compress; gentle movement; avoid cold and damp,Coffee / Camphor / Mint / Cold / Damp / Rest / Initial motion,no,Allen's Keynotes + Boericke,First motion painful then better from continued movement is the definitive keynote
back pain,Severe Sciatica / Disc Pain,high,adult,Hypericum Perforatum,200C,"Shooting burning neuralgic pain along nerve; worse from touch and movement; numbness or tingling in extremities; nerve damage picture","At HIGH severity when back pain involves nerve compression with shooting burning neuralgic quality Hypericum 200C is the nerve remedy. Tingling numbness shooting pain along sciatic nerve are definitive. Consult neurologist for imaging",yes - safe for BP patients,yes - safe for diabetics,St. John's Wort (dilution safe),Complete rest; avoid sitting for long; hot water bottle on lower back,Coffee / Camphor / Mint / Touch / Jarring / Pressure on nerve,yes - nerve pain needs neurological evaluation and possible MRI,Boericke's Materia Medica,The arnica of the nerves; shooting burning neuralgic pain along nerve paths is keynote
joint pain,Mild Joint Stiffness / Early Arthritis,low,adult,Rhus Toxicodendron,30C,"Stiffness and aching in joints on first motion; worse after rest; better from warmth and continued movement; worse in cold damp","At LOW severity for morning stiffness and early joint pain Rhus Tox 30C is first choice. Works on the fibrous tissues and joint capsule. The characteristic relief after initial stiffness wears off with movement is pathognomonic",yes - safe for BP patients,yes - safe for diabetics,Poison ivy (dilution safe),Anti-inflammatory foods; warm compress; gentle daily movement; turmeric milk,Coffee / Camphor / Mint / Cold / Damp / Rest / Initial movement,no,Allen's Keynotes + Boericke,Rusty gate analogy - stiff on first movement then loosens up
joint pain,Active Joint Inflammation / Gout,moderate,adult,Colchicum,30C,"Inflamed hot swollen joint; extreme sensitivity even to touch of bedsheet; weakness; worse from smell of food and evening","At MODERATE severity with acute joint inflammation especially gout Colchicum 30C is primary. The extreme sensitivity where even the weight of bedsheet causes agony and the peculiar aversion to smell of food are the definitive keynotes",yes - safe for BP patients,yes - safe for diabetics,Colchicum plant (dilution safe),Avoid red meat alcohol and purine-rich foods; drink 3 liters water daily; cherries,Coffee / Camphor / Mint / Touch / Motion / Smell of food,no for moderate; yes if fever with joint pain suggests septic arthritis,Boericke's Materia Medica,Aversion to smell of cooking food during joint pain is unique keynote of Colchicum
joint pain,Severe Deforming Arthritis,high,adult,Causticum,30C,"Progressive joint deformity; contractures; tendons shortening; worse in dry cold weather; better in wet weather (opposite of most); paralytic weakness","At HIGH severity with progressive joint deformity and contractures Causticum 30C addresses the deep fibrous changes in joints. The paradoxical improvement in wet weather and worsening in dry cold is the definitive keynote distinguishing it from other arthritis remedies",yes - safe for BP patients,yes - safe for diabetics,None,Warm food; avoid dry cold environment; physiotherapy alongside homeopathy,Coffee / Camphor / Mint / Dry cold weather / Overexertion,yes - severe deforming arthritis needs specialist care alongside homeopathy,Boericke's Materia Medica,Better in wet weather is paradoxical and pathognomonic for Causticum; long-term constitutional remedy
fatigue,Mild Fatigue from Overwork,low,adult,Kali Phosphoricum,6X,"Mental and physical exhaustion from overwork; brain fatigue; poor memory; nervousness; easily startled; weak and weary","At LOW severity for tiredness from mental or physical overwork Kali Phos 6X as a tissue salt is gentle safe and highly effective. It feeds the nervous system directly. Three times daily for 4-6 weeks restores vitality",yes - safe and nourishes nervous system,yes - safe for diabetics,Potassium phosphate (very safe tissue salt),Nutritious food; adequate 8-hour sleep; reduce workload; B-vitamin rich foods,Coffee / Camphor / Mint / Overwork / Mental strain / Excitement / Late nights,no,Boericke's Materia Medica,The brain food remedy; most safe effective tissue salt for mental and nervous exhaustion
fatigue,Post-illness Weakness / Anemia,moderate,all,China Officinalis,30C,"Great debility after loss of vital fluids; excessive sweating diarrhea or fever; periodic weakness; ringing in ears; pale; faint","At MODERATE severity when fatigue follows an illness with fluid loss China Officinalis 30C restores depleted vitality. The periodicity of symptoms and history of fluid loss distinguish it from Kali Phos. Great for post-COVID weakness and post-fever recovery",yes - safe and helps restore circulation,yes - safe for diabetics,Quinine (dilution safe),Iron-rich foods; dates pomegranate spinach; protein diet; adequate rest,Coffee / Camphor / Mint / Loss of fluids / Touch / Overexertion,no for moderate post-illness; yes for severe anemia needing CBC,Boericke's Materia Medica,Post-fluid-loss weakness is keynote; always get CBC to check for anemia
fatigue,Severe Exhaustion / Burnout,high,adult,Phosphoric Acid,30C,"Complete mental and physical exhaustion; apathy and indifference; hair falling; weakness from grief or emotional shock; cannot think","At HIGH severity with profound burnout and emotional exhaustion Phosphoric Acid 30C addresses the deepest level of depletion. The characteristic indifference and apathy where patient cannot feel anything is distinctive. Grief or shock as the trigger is the keynote",yes - safe and calms nervous system,yes - safe for diabetics,Phosphoric acid (dilution safe),Complete rest; nutritious food; remove stress source; gentle nature walks,Coffee / Camphor / Mint / Mental exertion / Grief / Emotional demands,yes - severe burnout with depression needs holistic professional care,Boericke's Materia Medica,Indifference and apathy as a coping mechanism for overwhelming stress is keynote
insomnia,Sleeplessness from Racing Thoughts,low,adult,Coffea Cruda,30C,"Mind too active to sleep; rush of pleasant or unexciting ideas; oversensitivity to noise and pain; wakes with slightest sound","At LOW severity when the mind is simply too active and excited to fall asleep Coffea Cruda 30C is ideal. Paradoxically made from coffee it treats the overstimulated mind. Best for occasional insomnia from good news excitement or overwork",yes - safe for BP patients,yes - safe for diabetics,Coffee (dilution paradoxically safe),Warm milk; chamomile tea; no screens 1 hour before bed; reading,Coffee / Camphor / Mint / Excitement / Noise / Stimulants,no,Boericke's Materia Medica,Paradox remedy made from coffee for coffee-like mental stimulation preventing sleep
insomnia,Sleeplessness with Anxiety,moderate,adult,Arsenicum Album,30C,"Cannot sleep due to anxiety and restlessness after midnight; gets up and walks about; fear and anguish; cold; needs company","At MODERATE severity when insomnia is driven by anxiety especially after midnight Arsenicum Album 30C is primary. The midnight to 3AM aggravation is definitive. Patient is cold restless and fearful and cannot bear to be alone",yes - safe and beneficial for anxious hypertensives,yes - safe for diabetics,Arsenic (dilution safe),Warm bedtime drink; light easy-to-digest dinner; regular sleep schedule; relaxation,Coffee / Camphor / Mint / Midnight worrying / Solitude,no for moderate; yes for severe chronic insomnia,Allen's Keynotes + Boericke,Midnight aggravation is the most reliable prescribing keynote for Arsenicum
insomnia,Chronic Insomnia with Physical Restlessness,high,adult,Rhus Toxicodendron,200C,"Cannot stay in one position; constant need to move in bed; aching joints; restless legs; cannot get comfortable all night","At HIGH severity with chronic intractable insomnia from physical restlessness and constant need to change position Rhus Tox 200C addresses the muscular and joint component. Restless leg syndrome pattern. If psychiatric cause - must see doctor",yes - safe for BP patients,yes - safe for diabetics,Poison ivy (dilution safe),Warm bath before bed; warm compress on legs; light evening meal; gentle yoga,Coffee / Camphor / Mint / Cold / Damp / Inactivity,yes - chronic severe insomnia needs professional evaluation,Allen's Keynotes,No comfortable position found all night; must keep moving is keynote
